id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,weight_kg,weight_class
2646-P,2,1521.2533360850066,ITOPH,Chicago,Florida,China,National Pumpkin Festival,1184 K,1283 O,414,1512,-3,Kakai,690.0283432214703,heavy
2945-P,45,1508.4594332249835,YTWHP,Chicago,New York,UK,Regional Pumpkin Festival,1009 P,1777 X,436,1700,-7,Kakai,684.2251312353867,heavy
2669-P,100,1514.3210729565471,URKNK,Houston,Texas,China,Local Pumpkin Festival,1345 S,1338 B,413,1433,2,Kakai,686.8839241245062,heavy
2323-P,18,1511.9169035395607,LMSZX,Nottingham,Texas,USA,National Pumpkin Festival,1126 E,1332 N,424,1536,2,Golden Hubbard,685.7934121103165,heavy
2113-P,42,1505.5104160290211,YERXA,New York,Florida,USA,National Pumpkin Festival,1424 F,1871 A,409,1398,6,Munchkin,682.8874806274357,heavy
2599-P,17,1501.0920915603638,WWXWA,Houston,Florida,UK,Local Pumpkin Festival,1368 E,1735 B,389,1272,22,Golden Hubbard,680.8833639950485,heavy
2693-P,74,1496.4589172359556,ZXUAM,Nottingham,Florida,China,National Pumpkin Festival,1967 Q,1847 V,425,1541,0,Kakai,678.7817931868916,heavy
2954-P,49,1477.9692450873554,JSDMM,New York,California,UK,Local Pumpkin Festival,1985 V,1180 D,413,1497,-6,Golden Hubbard,670.3950258176637,heavy
2753-P,35,1475.0414900258183,UHLDP,Nottingham,California,USA,National Pumpkin Festival,1931 U,1338 O,413,1418,5,Orange Bulldog,669.0670195437909,heavy
2416-P,68,1475.4131442569196,VIIFW,Los Angeles,Texas,UK,National Pumpkin Festival,1563 L,1457 Y,415,1515,0,Munchkin,669.2355989297847,heavy
2937-P,27,1484.6958986539394,KFCLZ,New York,Texas,USA,Local Pumpkin Festival,1453 N,1452 Y,406,1433,0,Munchkin,673.4461820622377,heavy
2346-P,3,1483.055962326564,FYUFZ,Nottingham,California,USA,Regional Pumpkin Festival,1967 U,1147 J,407,1448,-3,Golden Hubbard,672.7023200636309,heavy
2041-P,73,1479.213190072216,EISSQ,Los Angeles,New York,China,Local Pumpkin Festival,1395 M,1921 S,413,1506,-2,Kakai,670.9592693112367,heavy
2333-P,55,1471.9482513554394,WMOHY,Paris,Texas,UK,National Pumpkin Festival,1792 G,1014 O,403,1403,7,Munchkin,667.6639512288165,heavy
2012-P,50,1471.9392654662952,YUBTP,Houston,New York,USA,National Pumpkin Festival,1178 O,1315 E,410,1464,5,Orange Bulldog,667.6598753013877,heavy
2416-P,22,1466.9202261613682,GEQBW,Nottingham,Texas,UK,Regional Pumpkin Festival,1202 R,1020 F,393,1272,10,Orange Bulldog,665.3832792249873,heavy
2360-P,88,1461.0845857737586,PWVST,Chicago,Texas,China,Regional Pumpkin Festival,1872 A,1726 K,414,1453,0,Kakai,662.7362794302907,heavy
2728-P,88,1458.4759298674762,DUCEB,Los Angeles,Florida,UK,Regional Pumpkin Festival,1533 W,1437 U,402,1342,10,Orange Bulldog,661.5530139804482,heavy
2025-P,84,1447.8948810305446,DSQDO,Los Angeles,New York,China,Regional Pumpkin Festival,1756 X,1182 I,406,1433,-1,Kakai,656.7535348764068,heavy
2047-P,47,1434.874636521563,HUOMB,Houston,New York,UK,National Pumpkin Festival,1208 K,1371 O,382,1200,18,Kakai,650.8476561290888,heavy
2662-P,26,1450.6830639904365,UTMLO,Chicago,Florida,UK,Local Pumpkin Festival,1752 I,1317 E,381,1205,21,Munchkin,658.0182323615501,heavy
2481-P,68,1420.1577294040471,MITKG,Nottingham,Texas,USA,Local Pumpkin Festival,1889 W,1541 H,400,1363,2,Munchkin,644.1721847958405,heavy
2131-P,88,1420.618446708843,DFEID,Los Angeles,Florida,China,National Pumpkin Festival,1885 O,1229 W,401,1358,6,Munchkin,644.3811624795576,heavy
2269-P,33,1407.2357957037166,EWMLY,Houston,New York,USA,Local Pumpkin Festival,1802 V,1895 I,384,1266,15,Golden Hubbard,638.3108990448402,heavy
2034-P,38,1419.6770004276186,BBZPK,New York,Texas,USA,Local Pumpkin Festival,1184 S,1061 T,405,1425,1,Kakai,643.9541299779644,heavy
2265-P,49,1405.9447245476767,RURBA,Los Angeles,California,China,Regional Pumpkin Festival,1012 W,1440 N,399,1317,7,Munchkin,637.7252794970298,heavy
2073-P,53,1402.6055956566706,YXTEQ,Houston,New York,China,Local Pumpkin Festival,1969 O,1860 G,400,1352,5,Orange Bulldog,636.2106773451005,heavy
2270-P,57,1395.4608195023611,UPRPY,Los Angeles,California,UK,National Pumpkin Festival,1998 V,1525 Z,407,1396,-3,Orange Bulldog,632.9698640397149,heavy
2100-P,42,1391.345956528559,EYJKL,Houston,New York,UK,National Pumpkin Festival,1147 D,1629 U,390,1296,8,Kakai,631.1033951137022,heavy
2434-P,100,1393.7594898724928,WVCZG,Nottingham,Texas,UK,National Pumpkin Festival,1514 D,1723 E,417,1483,-11,Orange Bulldog,632.1981545302438,heavy
2620-P,100,1381.7417971326038,TESCU,Chicago,Florida,USA,Local Pumpkin Festival,1890 E,1920 W,384,1265,6,Orange Bulldog,626.747025244972,heavy
2038-P,40,1388.6666015982628,BJBKK,Chicago,Florida,China,Regional Pumpkin Festival,1540 R,1964 W,395,1309,4,Golden Hubbard,629.8880611521593,heavy
2946-P,79,1372.7505555022508,ZQTFE,Houston,Texas,China,National Pumpkin Festival,1141 A,1393 J,389,1250,16,Golden Hubbard,622.668669971377,heavy
2629-P,69,1371.0069660535082,MFBBP,Los Angeles,California,USA,Regional Pumpkin Festival,1602 R,1563 Y,378,1134,21,Kakai,621.8777917461429,heavy
2088-P,41,1375.5086210835725,WDQOY,Houston,New York,China,National Pumpkin Festival,1372 L,1517 D,383,1250,4,Golden Hubbard,623.9197064545398,heavy
2981-P,20,1356.2025557160378,PPKOJ,Nottingham,New York,China,Regional Pumpkin Festival,1871 C,1195 S,406,1441,-11,Munchkin,615.162629652349,heavy
2553-P,7,1356.585754122585,NUEWG,Houston,Florida,UK,Local Pumpkin Festival,1685 T,1977 R,372,1133,20,Munchkin,615.3364453839716,heavy
2253-P,64,1351.2843188289553,BNXVM,Paris,Florida,UK,National Pumpkin Festival,1272 U,1820 P,393,1309,1,Munchkin,612.9317567462634,heavy
2191-P,29,1347.5586298368871,BTAOE,Los Angeles,Texas,China,Local Pumpkin Festival,1896 U,1668 C,393,1254,4,Orange Bulldog,611.2418140249733,heavy
2954-P,5,1353.6116445051507,TTNJY,Chicago,Florida,China,Local Pumpkin Festival,1628 G,1099 F,396,1304,9,Golden Hubbard,613.9874130543803,heavy
2760-P,9,1346.2153569655493,XLGVI,Los Angeles,Florida,China,Local Pumpkin Festival,1391 P,1671 J,387,1223,14,Orange Bulldog,610.6325161967175,heavy
2846-P,96,1353.2192517118528,HQWJD,New York,Florida,UK,Regional Pumpkin Festival,1313 W,1809 Z,410,1414,-6,Orange Bulldog,613.8094268224828,heavy
2460-P,2,1339.8318171333522,EDAFJ,Los Angeles,New York,China,Regional Pumpkin Festival,1253 Z,1461 V,393,1272,9,Munchkin,607.7369935971515,heavy
2745-P,20,1332.5737417610362,ODGGF,New York,California,China,National Pumpkin Festival,1142 W,1751 Z,402,1390,0,Orange Bulldog,604.4447886728719,heavy
2333-P,8,1332.3260529804977,SXOGU,Nottingham,Florida,China,Regional Pumpkin Festival,1554 N,1482 B,398,1304,2,Golden Hubbard,604.3324390235299,heavy
2762-P,76,1323.5963229946792,RABYW,Nottingham,Florida,USA,Local Pumpkin Festival,1929 X,1122 S,403,1383,-9,Kakai,600.3727033398026,heavy
2860-P,18,1310.4037603251636,YOOIQ,Los Angeles,Texas,China,Local Pumpkin Festival,1517 C,1137 N,382,1153,14,Kakai,594.3886624534116,heavy
2507-P,44,1301.625141366385,UFWQL,Houston,Florida,USA,Regional Pumpkin Festival,1496 J,1415 X,397,1286,-4,Kakai,590.4067511226613,heavy
2904-P,55,1294.4438487375155,QBGQI,Houston,Texas,USA,Regional Pumpkin Festival,1853 L,1005 Y,377,1124,15,Kakai,587.1493742365471,heavy
2079-P,36,1296.1412075273693,LPCSZ,New York,Texas,UK,Local Pumpkin Festival,1238 A,1980 J,398,1287,1,Orange Bulldog,587.9192826047545,heavy
2476-P,57,1296.721787254326,SENXW,Los Angeles,Texas,USA,National Pumpkin Festival,1117 R,1150 J,375,1127,19,Kakai,588.1826289242642,heavy
2383-P,62,1274.6373686604202,DEJPX,Paris,California,UK,Regional Pumpkin Festival,1131 X,1187 A,386,1213,10,Golden Hubbard,578.1653133254173,heavy
2611-P,26,1267.4800659930331,ZGVOJ,New York,California,UK,Local Pumpkin Festival,1576 B,1132 F,382,1163,11,Orange Bulldog,574.9188180939119,heavy
2301-P,84,1271.420012595132,OHLBG,Los Angeles,New York,UK,Local Pumpkin Festival,1028 F,1194 X,378,1175,13,Kakai,576.7059463530511,heavy
2050-P,15,1265.231105892919,OJIJV,Chicago,New York,USA,Regional Pumpkin Festival,1892 N,1272 P,375,1140,11,Munchkin,573.8987077841809,heavy
2864-P,29,1260.0634390534833,NKFQF,Chicago,Florida,USA,Regional Pumpkin Festival,1422 H,1590 U,391,1275,2,Kakai,571.5546954471477,heavy
2773-P,96,1249.243761810474,XVUXK,Chicago,California,USA,Local Pumpkin Festival,1496 L,1398 A,385,1197,2,Orange Bulldog,566.6469764071365,heavy
2773-P,96,1245.5380340451377,NTUBV,New York,New York,China,Regional Pumpkin Festival,1786 G,1745 R,380,1147,9,Golden Hubbard,564.9660879386021,heavy
2308-P,98,1256.03898064103,WJYZD,Nottingham,Texas,USA,National Pumpkin Festival,1738 O,1306 P,398,1325,-8,Golden Hubbard,569.7292333069261,heavy
2159-P,67,1235.316809420474,BXNTH,Los Angeles,Texas,China,National Pumpkin Festival,1840 K,1642 M,373,1097,13,Kakai,560.3298222186517,heavy
2926-P,89,1237.6847736472264,ZLLKC,Paris,Texas,China,Local Pumpkin Festival,1706 J,1666 I,384,1234,-2,Orange Bulldog,561.4039118481927,heavy
2684-P,34,1238.1301601607352,WCHFG,New York,Florida,USA,Local Pumpkin Festival,1035 E,1463 D,393,1272,1,Kakai,561.6059356076282,heavy
2150-P,24,1232.359915212728,QBQYX,Houston,Texas,USA,Local Pumpkin Festival,1720 I,1253 T,403,1349,-6,Kakai,558.9885986611717,heavy
2792-P,83,1219.3911916119978,TIZHT,Paris,Texas,UK,Local Pumpkin Festival,1607 K,1903 E,379,1155,11,Kakai,553.1060893856693,heavy
2128-P,7,1226.7048747465014,IWHGW,Houston,New York,China,Local Pumpkin Festival,1611 F,1383 Y,383,1192,4,Munchkin,556.4235175460151,heavy
2477-P,43,1222.9074403904378,CQEWS,Chicago,Florida,China,National Pumpkin Festival,1563 B,1099 B,387,1213,-4,Munchkin,554.7010317015795,heavy
2471-P,21,1220.0700757587329,HSWUH,Nottingham,Florida,China,Local Pumpkin Festival,1485 L,1447 V,378,1151,1,Orange Bulldog,553.4140258035551,heavy
2108-P,73,1208.8672060836109,KUCFS,Los Angeles,Texas,China,Local Pumpkin Festival,1743 F,1764 N,373,1111,6,Munchkin,548.3324937418772,heavy
2934-P,93,1214.137678754516,JDSUF,Paris,Florida,UK,National Pumpkin Festival,1513 S,1057 M,379,1225,-3,Munchkin,550.7231379816184,heavy
2833-P,75,1208.3337063724175,NZBNM,Chicago,Florida,UK,National Pumpkin Festival,1755 T,1580 E,372,1092,7,Munchkin,548.0905025408777,heavy
2560-P,26,1213.071847440675,LOVAV,Los Angeles,New York,USA,National Pumpkin Festival,1409 K,1055 T,384,1205,-5,Kakai,550.2396854243106,heavy
2762-P,71,1199.8585119210184,EXEFL,New York,New York,USA,Local Pumpkin Festival,1517 I,1042 S,398,1363,-7,Golden Hubbard,544.2462221392785,heavy
2934-P,20,1198.891034398414,PBUIL,Nottingham,New York,USA,National Pumpkin Festival,1319 D,1503 B,375,1124,11,Munchkin,543.8073820748453,heavy
2667-P,19,1208.845157914795,QBLQA,Houston,Florida,USA,National Pumpkin Festival,1775 K,1117 D,376,1173,-2,Orange Bulldog,548.3224928688877,heavy
2669-P,91,1196.3106798175722,DVSOE,Los Angeles,Texas,China,National Pumpkin Festival,1513 U,1775 R,378,1169,5,Golden Hubbard,542.6369538798123,heavy
2116-P,98,1192.870184876956,EZDUG,Houston,Florida,UK,National Pumpkin Festival,1473 Q,1470 O,394,1279,-6,Kakai,541.0763728987082,heavy
2939-P,63,1185.4932586913928,OEFDH,Los Angeles,Florida,USA,Local Pumpkin Festival,1459 U,1951 C,395,1274,-8,Munchkin,537.7302581963462,heavy
2425-P,64,1177.500406736508,GMHMV,Houston,Texas,China,Local Pumpkin Festival,1163 H,1244 K,366,1080,9,Orange Bulldog,534.1047644924262,heavy
2575-P,13,1185.7943363822997,SLZIO,Chicago,Texas,UK,National Pumpkin Festival,1773 K,1659 P,367,1105,12,Golden Hubbard,537.86682462832,heavy
2698-P,48,1177.7287733955309,ONVWC,Chicago,California,China,Local Pumpkin Festival,1330 E,1289 B,380,1182,0,Golden Hubbard,534.2083497820256,heavy
2644-P,91,1179.059582950547,KDAEJ,Houston,Texas,China,National Pumpkin Festival,1022 S,1499 I,354,998,17,Kakai,534.8119943497046,heavy
2872-P,17,1170.9922909326851,DIUTD,Nottingham,Texas,UK,Local Pumpkin Festival,1265 D,1091 G,370,1121,8,Orange Bulldog,531.1527352287385,heavy
2177-P,4,1163.068582477048,SOHXR,Chicago,California,USA,Regional Pumpkin Festival,1937 N,1570 O,392,1325,-14,Munchkin,527.5586044629292,heavy
2069-P,98,1151.9184783464298,RWBWG,New York,Texas,USA,National Pumpkin Festival,1280 B,1501 P,377,1115,7,Orange Bulldog,522.5010064301138,heavy
2094-P,14,1159.7159404791892,ONMWV,New York,Texas,UK,Local Pumpkin Festival,1161 E,1501 O,380,1198,-5,Golden Hubbard,526.0378728738364,heavy
2148-P,55,1149.7334858756512,YPVKE,New York,California,USA,National Pumpkin Festival,1340 M,1731 R,381,1158,-1,Orange Bulldog,521.5099113253084,heavy
2469-P,13,1144.6184584358707,LWAYE,Houston,California,China,National Pumpkin Festival,1434 Q,1423 D,375,1149,-5,Kakai,519.1897757988435,heavy
2411-P,59,1135.840905953199,ZSCUR,Los Angeles,California,UK,Regional Pumpkin Festival,1444 H,1844 B,375,1161,-6,Golden Hubbard,515.2083482131234,heavy
2007-P,25,1127.008169990033,FVVVX,New York,Florida,UK,Regional Pumpkin Festival,1680 T,1265 R,370,1126,-1,Orange Bulldog,511.201889842119,heavy
2293-P,50,1133.507513356395,PDJLJ,Nottingham,New York,USA,Local Pumpkin Festival,1323 M,1477 X,381,1176,-6,Orange Bulldog,514.149939998354,heavy
2956-P,35,1124.4691144693645,JAODA,New York,Texas,UK,Local Pumpkin Festival,1834 J,1474 M,365,1089,1,Munchkin,510.050194570388,heavy
2284-P,53,1131.8510228777304,WRIDY,Houston,Texas,USA,Regional Pumpkin Festival,1155 K,1071 W,368,1121,2,Munchkin,513.3985691691555,heavy
2157-P,35,1112.7664566952735,XKZBI,Paris,Texas,China,Local Pumpkin Festival,1238 V,1196 I,382,1179,-6,Kakai,504.7419626253225,heavy
2871-P,86,1105.551014102064,QPNAT,New York,Texas,UK,Regional Pumpkin Festival,1569 W,1282 S,364,1064,2,Golden Hubbard,501.46909558858346,heavy
2899-P,64,1107.9499880267308,SUTTR,Los Angeles,Texas,China,Regional Pumpkin Festival,1345 W,1884 H,377,1152,-2,Kakai,502.55725096902086,heavy
2429-P,44,1110.6255315747112,RWKOS,Paris,New York,UK,Regional Pumpkin Festival,1231 T,1228 K,376,1176,-11,Kakai,503.7708561180364,heavy
2873-P,65,1103.5507892826572,XGHEV,New York,California,China,Local Pumpkin Festival,1591 A,1108 S,376,1200,-10,Orange Bulldog,500.56180961229904,heavy
2702-P,13,1093.0714552495629,HYFRF,New York,California,USA,National Pumpkin Festival,1404 T,1445 S,373,1099,3,Orange Bulldog,495.8084675295597,heavy
2133-P,8,1103.3763731086626,NKXKX,Paris,New York,USA,National Pumpkin Festival,1796 L,1545 D,363,1081,5,Orange Bulldog,500.4826958311045,heavy
2678-P,42,1095.5495010558516,JWLTT,Los Angeles,California,China,Local Pumpkin Festival,1219 S,1226 N,355,974,11,Orange Bulldog,496.9324892829258,heavy
2736-P,46,1094.5358890695495,NLHAL,New York,New York,USA,National Pumpkin Festival,1220 F,1019 R,360,1006,9,Orange Bulldog,496.4727229948351,heavy
2307-P,23,1108.631291331723,CERTV,Chicago,Florida,China,National Pumpkin Festival,1756 T,1903 J,373,1132,-6,Orange Bulldog,502.86628469773893,heavy
2601-P,61,1105.263314067386,VTQWK,Nottingham,New York,USA,Regional Pumpkin Festival,1808 M,1393 Y,341,914,18,Kakai,501.3385971544538,heavy
2487-P,34,1086.7769220538437,ZQUKI,Nottingham,New York,UK,Local Pumpkin Festival,1662 X,1833 B,362,1026,3,Golden Hubbard,492.9533176282471,heavy
2301-P,67,1083.500990212895,LKDGN,Nottingham,Florida,UK,Local Pumpkin Festival,1474 F,1202 V,349,971,9,Orange Bulldog,491.4673811526475,heavy
2095-P,60,1084.317067512311,QAWZU,Nottingham,Texas,China,Local Pumpkin Festival,1469 X,1724 L,381,1153,-9,Munchkin,491.8375472870442,heavy
2613-P,29,1089.8752402942628,ZEPKF,Paris,Texas,UK,Local Pumpkin Festival,1562 Q,1580 H,398,1318,-15,Orange Bulldog,494.3586899955552,heavy
2734-P,62,1089.0178397754207,DLDOA,New York,New York,USA,Regional Pumpkin Festival,1205 T,1597 F,385,1205,-12,Orange Bulldog,493.96977997941264,heavy
2214-P,50,1086.9314687969163,OXXXE,Paris,New York,USA,Regional Pumpkin Festival,1068 R,1340 E,373,1157,-7,Golden Hubbard,493.02341879453087,heavy
2366-P,70,1082.4460341650993,TOKEQ,Chicago,Florida,UK,Local Pumpkin Festival,1159 H,1632 N,359,1044,5,Orange Bulldog,490.9888615290157,heavy
2670-P,87,1085.4518164852634,ETSDG,Nottingham,California,China,Local Pumpkin Festival,1823 J,1790 P,336,875,27,Munchkin,492.3522603431836,heavy
2063-P,88,1069.6436235969886,KTUFG,Houston,California,UK,National Pumpkin Festival,1483 F,1853 V,351,941,9,Munchkin,485.18179051460527,heavy
2355-P,62,1064.0432737767696,CCSWA,Chicago,California,UK,Local Pumpkin Festival,1048 B,1070 E,358,989,12,Munchkin,482.6415166389525,heavy
2399-P,52,1075.5942715546116,OMNSQ,New York,California,China,National Pumpkin Festival,1918 M,1913 P,363,1080,3,Orange Bulldog,487.8809568229994,heavy
2364-P,11,1069.9573011050002,HIJCI,Chicago,Texas,UK,Local Pumpkin Festival,1241 T,1167 K,3,1,5,Golden Hubbard,485.32407212281925,heavy
2293-P,67,1064.3339835489169,ADZRK,Los Angeles,Texas,China,Regional Pumpkin Festival,1002 R,1135 I,368,1051,0,Golden Hubbard,482.7733802659203,heavy
2664-P,69,1068.6363691538572,MAMYK,Chicago,Florida,USA,Regional Pumpkin Festival,1161 G,1988 P,357,997,2,Munchkin,484.7249079572364,heavy
2277-P,82,1064.510700863786,LBDDT,Paris,Florida,China,Regional Pumpkin Festival,1868 X,1748 T,380,1147,-7,Golden Hubbard,482.85353782620643,heavy
2546-P,17,1059.4892437467352,YVAWJ,Paris,New York,UK,Regional Pumpkin Festival,1007 Q,1192 B,361,997,4,Orange Bulldog,480.57584504956907,heavy
2378-P,68,1057.947700168006,HSRHQ,Los Angeles,Texas,China,Local Pumpkin Festival,1604 E,1037 O,0,4,5,Golden Hubbard,479.87661321460615,heavy
2604-P,23,1067.3517187135294,WRLLX,Chicago,California,UK,Local Pumpkin Festival,1881 N,1770 B,379,1182,-10,Orange Bulldog,484.1422007947072,heavy
2609-P,99,1057.8145157832653,UIPUL,Houston,New York,China,Local Pumpkin Festival,1581 P,1837 F,383,1169,-4,Orange Bulldog,479.81620184316284,heavy
2576-P,84,1048.3376688901335,UXVHE,Los Angeles,California,UK,Regional Pumpkin Festival,1423 F,1786 U,376,1168,-15,Kakai,475.5175799072134,heavy
2879-P,7,1065.4482040489092,KIKIP,Nottingham,California,UK,Regional Pumpkin Festival,1958 F,1801 K,350,931,11,Kakai,483.27878177095283,heavy
2742-P,61,1050.4300634367391,BKFVN,New York,Florida,USA,Regional Pumpkin Festival,1588 W,1707 O,365,1083,-4,Kakai,476.4666733343974,heavy
2576-P,97,1054.1610619891435,QBIUE,Nottingham,Florida,UK,Regional Pumpkin Festival,1578 J,1389 Y,372,1114,-8,Kakai,478.15902442977955,heavy
2509-P,97,1049.859158946015,LIXWK,Paris,Florida,China,National Pumpkin Festival,1879 L,1556 B,356,1008,3,Munchkin,476.2077156246408,heavy
2146-P,86,1059.064704229124,JEEEW,Nottingham,Florida,USA,National Pumpkin Festival,1590 O,1949 C,374,1120,-11,Kakai,480.3832773206968,heavy
2728-P,38,1047.949860659428,XVUDK,New York,California,UK,Local Pumpkin Festival,1456 U,1459 Z,357,982,7,Munchkin,475.3416731962312,heavy
2965-P,89,1041.6146165225657,MWZFW,New York,California,USA,Regional Pumpkin Festival,1434 X,1704 N,377,1121,-12,Munchkin,472.4680571377036,heavy
2061-P,88,1046.781531115994,JUIEA,Los Angeles,New York,UK,National Pumpkin Festival,1308 G,1703 V,366,1048,-5,Munchkin,474.811728261966,heavy
2558-P,45,1040.6252702800557,CGRAE,New York,California,China,National Pumpkin Festival,1475 T,1202 G,359,1023,4,Kakai,472.019297596871,heavy
2070-P,60,1034.2661342710255,FTQFT,Houston,California,USA,National Pumpkin Festival,1112 V,1443 E,362,1031,4,Munchkin,469.134844376263,heavy
2493-P,45,1032.668546888046,AIGFC,New York,Florida,China,National Pumpkin Festival,1572 A,1964 W,363,1094,-5,Kakai,468.41019152004253,heavy
2860-P,12,1034.235979964025,MTUTT,Nottingham,California,USA,Regional Pumpkin Festival,1393 I,1289 U,5,0,-3,Golden Hubbard,469.12116662384204,heavy
2176-P,51,1043.8336307406423,IJTCG,Chicago,Texas,USA,Regional Pumpkin Festival,1387 E,1082 O,352,964,13,Orange Bulldog,473.4745842349094,heavy
2035-P,56,1030.6821203269064,MGFLF,Houston,Florida,China,Regional Pumpkin Festival,1015 G,1926 Q,341,903,18,Kakai,467.5091643233221,heavy
2626-P,53,1047.209508872591,SKTZE,Houston,Texas,China,Local Pumpkin Festival,1450 H,1425 I,376,1146,-13,Kakai,475.00585554853626,heavy
2678-P,48,1033.6875081900507,HQRYW,Houston,New York,China,Regional Pumpkin Festival,1824 H,1539 K,361,1034,-4,Orange Bulldog,468.87238421494146,heavy
2810-P,27,1036.909887658432,NKYLQ,New York,Texas,China,Regional Pumpkin Festival,1365 V,1234 U,356,986,4,Kakai,470.33402976276346,heavy
2184-P,72,1042.8626688793302,ZNVEB,Nottingham,Texas,UK,National Pumpkin Festival,1612 V,1874 D,5,5,1,Kakai,473.0341637023131,heavy
2563-P,13,1022.8415327882394,SPGGD,Los Angeles,Florida,China,Local Pumpkin Festival,1630 B,1540 X,363,1092,-5,Orange Bulldog,463.9527365404831,heavy
2574-P,76,1020.4940355736762,SNXFO,Houston,California,USA,Local Pumpkin Festival,1846 V,1859 N,355,996,1,Orange Bulldog,462.8879305839349,heavy
2216-P,74,1032.062213533558,CVYVW,Chicago,New York,USA,Regional Pumpkin Festival,1719 H,1003 Q,350,970,7,Kakai,468.1351635611136,heavy
2611-P,33,1018.8363731369376,YNCKC,Paris,California,UK,National Pumpkin Festival,1091 Z,1491 W,341,913,17,Golden Hubbard,462.1360281639298,heavy
2371-P,27,1020.6182434530928,MEJKK,Chicago,New York,USA,National Pumpkin Festival,1403 A,1534 T,368,1113,-7,Golden Hubbard,462.94427028437525,heavy
2785-P,80,1027.8841996524484,ZAHTF,Houston,California,USA,Regional Pumpkin Festival,1636 C,1209 J,358,1048,-7,Munchkin,466.2400498887534,heavy
2987-P,28,1007.6088692415506,NAKDM,Houston,Texas,UK,Local Pumpkin Festival,1827 Z,1210 A,351,988,4,Orange Bulldog,457.0433222170134,heavy
2136-P,36,1016.978566804342,QHHBT,Los Angeles,California,USA,National Pumpkin Festival,1899 T,1315 J,356,1018,-4,Kakai,461.2933420739151,heavy
2877-P,71,1010.2970038373024,DNOCW,Paris,Texas,USA,National Pumpkin Festival,1383 P,1701 P,349,932,3,Orange Bulldog,458.26263856456967,heavy
2332-P,47,995.843620589003,FVDYP,Nottingham,Florida,USA,National Pumpkin Festival,1756 U,1527 A,358,1008,2,Orange Bulldog,451.706699550207,medium
2388-P,31,993.7113236850128,OCCAP,Los Angeles,Texas,USA,National Pumpkin Festival,1780 J,1985 D,375,1105,-11,Kakai,450.7395067329323,medium
2348-P,77,1002.8242149380968,MCDEM,Chicago,California,UK,Regional Pumpkin Festival,1950 J,1753 S,353,933,10,Munchkin,454.8730413022012,heavy
2187-P,32,1000.4270367249846,VNYRM,Paris,Florida,China,Regional Pumpkin Festival,1713 T,1438 I,359,1037,-6,Kakai,453.7857004421592,heavy
